expense_ratio,risk_level,cluster,scheme_code
0.083003953,0.4,1,100033
0.118577075,0,9,100034
0.185770751,0.8,5,100037
0.217391304,1,0,100038
0.438735178,1,2,100041
0.122529644,0.4,1,100042
0.098814229,0.2,4,100043
0.249011858,0.6,6,100044
0.324110672,1,8,100046
0.660079051,1,7,100047
0.229249012,0.4,1,100048
0.42687747,1,2,100049
0.375494071,1,8,100051
0.454545455,0.6,3,100052
0.316205534,1,8,100053
0.067193676,0.2,4,100054
0.395256917,1,8,100055
0.063241107,1,0,100056
0.110671937,0.6,6,100057
0.118577075,0.8,5,100058
0.383399209,1,8,100059
0.035573123,0.8,5,100060
0.090909091,0.4,1,100061
0.169960474,0.4,1,100062
0.300395257,1,8,100063
0.648221344,1,7,100064
0.826086957,1,7,100065
0.059288538,0.4,1,100066
0.130434783,0.4,1,100067
0.592885375,1,7,100956
0.316205534,0.6,6,100970
0.450592885,1,2,100971
0.059288538,0.4,1,100972
0.102766798,1,0,101313
0.418972332,1,8,101314
0.339920949,0.6,6,101315
0.110671937,0.4,1,101316
0.126482213,0.4,1,101317
0.387351779,1,8,101318
0.343873518,1,8,101591
0.098814229,0,9,112210
0.252964427,1,0,112211
0.106719368,0.4,1,112212
0.225296443,1,0,112213
0.395256917,1,8,112214
0.063241107,0.4,1,112215
0.296442688,0.6,6,112216
0.079051383,0.4,1,112217
0.324110672,0.6,6,112277
0.252964427,1,0,112278
0.268774704,1,8,112322
0.130434783,0.4,1,112323
0.043478261,0.8,5,112354
0.035573123,0.2,4,112355
0.312252964,1,8,112369
0.201581028,1,0,112679
0.316205534,0.6,6,112680
0.09486166,0.4,1,112681
0.18972332,1,0,112682
0.130434783,0.6,6,112683
0.090909091,0.2,4,112684
0.260869565,1,0,112712
0.14229249,0.8,5,118484
0.794466403,1,7,109255
0.845849802,0.4,3,109264
0.584980237,0.6,3,109269
0.723320158,1,7,110606
0.04743083,0.2,4,110607
0.588932806,1,7,110608
0.735177866,1,7,111585
0.351778656,1,8,111589
0.363636364,0.2,4,111590
0.494071146,1,2,111709
0.118577075,0.4,1,111710
0.217391304,1,0,113036
0.169960474,0,9,119333
0.62055336,1,7,119334
0.28458498,0.6,6,119340
0.102766798,0.2,4,119354
0.28458498,0.6,6,119399
0.256916996,0.4,1,119400
0.418972332,1,8,119415
0.241106719,1,0,119416
0.031620553,0.4,1,133488
0.347826087,1,8,133517
0.051383399,0.2,4,133518
0.130434783,0.4,1,133520
0.249011858,0.4,1,139344
0.209486166,1,0,140463
0.411067194,1,8,142245
0.122529644,0.4,1,142246
0.166007905,1,0,100589
0.201581028,0.6,6,100590
0.371541502,1,8,100593
0.130434783,0.2,4,100596
0.23715415,0.4,1,100597
0.213438735,1,0,100600
0.225296443,1,0,100601
0.229249012,1,0,101361
0.193675889,1,0,101362
0.18972332,0.4,1,101363
0.272727273,0.4,1,101364
0.498023715,1,2,101365
0.019762846,0.2,4,101587
0.098814229,0.2,4,101588
0.162055336,0.2,4,101589
0.134387352,0.2,4,101922
0.114624506,0,9,100077
0.106719368,0.2,4,100078
0.130434783,0.4,1,100079
0.126482213,0.6,6,100080
0.256916996,0.8,5,100081
0.28458498,1,8,100082
0.335968379,1,8,100084
0.134387352,0.6,6,100085
0.276679842,1,8,100086
0.403162055,1,8,100087
0.18972332,0.4,1,100088
0.505928854,1,2,100089
0.035573123,0.4,1,100090
0.09486166,0.2,4,100940
0.280632411,1,8,100941
0.454545455,1,2,100943
0.134387352,1,0,101303
0.177865613,0.4,1,101304
0.075098814,0.4,1,101305
0.09486166,0.2,4,101306
0.33201581,1,8,101635
0.162055336,0.2,4,101636
0.296442688,1,8,101742
0.47826087,1,2,101743
0.09486166,0.2,4,101744
0.118577075,1,0,109934
0.122529644,0,9,109935
0.177865613,1,0,109936
0.079051383,0.4,1,109937
0.252964427,0.6,6,109938
0.197628458,1,0,109939
0.23715415,0.4,1,109940
0.213438735,1,0,109941
0.343873518,1,8,109942
0.035573123,0.4,1,109944
0.249011858,1,0,109945
0.201581028,1,0,109946
0.079051383,0.2,4,109949
0.217391304,1,0,109950
0.490118577,1,2,100470
0.039525692,0.2,4,100471
0.375494071,1,8,100472
0.059288538,0.2,4,100473
0.201581028,0.6,6,100481
0.158102767,0.6,6,100482
0.517786561,1,2,100483
0.450592885,1,2,100484
0.411067194,1,8,100485
0.059288538,0.2,4,100486
0.434782609,1,2,100487
0.201581028,0.4,1,100489
0.027667984,0.2,4,100490
0.150197628,0.6,6,100491
0.071146245,1,0,100493
0.683794466,1,7,100494
0.395256917,1,8,100495
0.015810277,0.2,4,100498
0.383399209,1,8,100499
0.418972332,1,8,100503
0.458498024,1,2,100504
0.146245059,0,9,100119
0.324110672,1,8,100120
0.130434783,0.2,4,100121
0.387351779,1,8,100122
0.355731225,1,8,100123
0.102766798,0.4,1,100124
0.351778656,0.6,6,100282
0.169960474,0.4,1,100283
0.063241107,0.8,5,100284
0.411067194,0.6,3,100285
0.371541502,1,8,100868
0.079051383,0.4,1,100869
0.18972332,1,0,100870
0.158102767,0.4,1,100871
0.04743083,0.8,5,100872
0.482213439,1,2,100873
0.501976285,0.6,3,100874
0.407114625,1,8,100875
0.177865613,0.4,1,100876
0.055335968,1,0,100877
0.055335968,1,0,100878
0.66798419,1,7,100881
0.383399209,1,8,100899
0.055335968,0.2,4,100900
0.146245059,0.2,4,100997
0.205533597,0.6,6,100998
0.351778656,1,8,101081
0.059288538,0.4,1,101082
0.324110672,1,8,101083
0.015810277,0,9,101084
0.28458498,1,8,101281
0.383399209,1,8,101282
0.371541502,0.6,6,101430
0.090909091,0.4,1,101431
0.292490119,1,8,101480
0.43083004,1,2,101481
0.415019763,1,8,101482
0.320158103,1,8,101593
0.090909091,0,9,101594
0.28458498,0.6,6,101597
0.067193676,0.4,1,101598
0.537549407,1,2,101599
0.505928854,0.6,3,101600
0.114624506,0.2,4,101685
0.090909091,0.4,1,101686
0.312252964,0.6,6,101687
0.090909091,0.4,1,101688
0.434782609,1,2,101691
0.371541502,1,8,101692
0.221343874,0.4,1,101693
0.462450593,1,2,101694
0.347826087,0.4,3,101696
0.166007905,0.4,1,101697
0.42687747,1,2,101698
0.4743083,1,2,101699
0.023715415,0.2,4,101700
0.075098814,0.2,4,101701
0.18972332,0.4,1,101702
0.395256917,1,8,102065
0.276679842,0.8,5,102066
0.134387352,0.4,1,102251
0.245059289,0.4,1,102252
0.268774704,1,8,102257
0.075098814,0.2,4,102258
0.083003953,0.2,4,102259
0.280632411,1,8,102260
0.490118577,1,2,102261
0.308300395,1,8,102262
0.221343874,0.4,1,100348
0.04743083,0.6,5,100349
0.335968379,0.8,8,100350
0.411067194,1,8,100351
0.126482213,0.2,4,100352
0.395256917,1,8,100353
0.213438735,0.4,1,100354
0.644268775,1,7,100355
0.09486166,0.2,4,100356
0.316205534,0.6,6,100357
0.138339921,0.4,1,100358
0.23715415,1,0,100359
0.450592885,1,2,100360
0.130434783,0,9,100361
0.18972332,0.2,4,100362
0.671936759,1,7,100363
0.221343874,0.2,4,100364
0.545454545,1,2,100365
0.209486166,1,0,100366
0.197628458,0.4,1,100367
0.079051383,0.4,1,100368
0.624505929,1,7,100369
0.407114625,1,8,100370
0.055335968,0.4,1,100371
0.462450593,1,2,100372
0.359683794,1,8,100952
0.280632411,0.6,6,100953
0.434782609,1,2,100954
0.059288538,0.4,1,100955
0.43083004,1,2,101098
0.37944664,1,8,101127
0.043478261,1,0,101143
0.09486166,1,0,101144
0,1,0,101165
0.011857708,0.8,5,101221
0.367588933,0.6,6,101228
0.418972332,1,8,101229
0.039525692,1,0,101230
0.134387352,0.2,4,101231
0.130434783,0.4,1,101349
0.296442688,1,8,101350
0.367588933,1,8,101351
0.075098814,1,0,101617
0.130434783,0.4,1,101618
0.458498024,1,2,101619
0.217391304,0.6,6,113062
0.454545455,1,2,113063
0.43083004,0.6,3,113096
0.612648221,1,7,113102
0.079051383,0.8,5,113103
0.636363636,1,7,113104
0.4743083,1,2,113249
0.027667984,0.2,4,113250
0.616600791,1,7,113251
0.102766798,1,0,113252
0.102766798,1,0,113253
0.086956522,0.2,4,113254
0.584980237,1,2,114630
0.075098814,0.2,4,114633
0.083003953,0.4,1,122612
0.33201581,1,8,131579
0.055335968,0.4,1,125337
0.205533597,0,9,115991
0.47826087,1,2,115992
0.063241107,0.2,4,115993
0.126482213,0.4,1,115994
0.173913043,1,0,115995
0.173913043,1,0,116424
0.126482213,0,9,104483
0.086956522,0.4,1,104484
0.221343874,1,0,104485
0.086956522,0.2,4,104486
0.086956522,0.2,4,104487
0.351778656,1,8,104488
0.403162055,1,8,104489
0.166007905,0.2,4,104490
0.039525692,0.8,5,104491
0.23715415,1,0,104492
0.403162055,1,8,104635
0.296442688,1,8,104636
0.035573123,0.2,4,104722
0.260869565,1,0,104723
0.063241107,0.2,4,104724
0.233201581,1,0,104725
0.355731225,1,8,104726
0.114624506,0.2,4,104727
0.339920949,1,8,104728
0.102766798,0.2,4,104729
0.071146245,0.2,4,105024
0.118577075,0,9,103780
0.225296443,0.2,4,101805
0.517786561,1,2,100220
0.616600791,1,7,120491
0.600790514,1,7,120488
0.687747036,1,7,100218
0.035573123,0.2,4,100233
0.110671937,0.2,4,143603
0.166007905,0.4,1,100222
0.549407115,1,2,107288
0.71541502,1,7,100254
0.122529644,0.4,1,100261
0.229249012,1,0,100262
0.118577075,0.4,1,100263
0.225296443,0.2,4,100264
0.102766798,0.2,4,100265
0.268774704,0.8,5,100278
0.150197628,0.6,6,100279
0.134387352,0.4,1,100280
0.169960474,1,0,100281
0.146245059,0,9,100286
0.205533597,1,0,100289
0.213438735,1,0,100290
0.37944664,0.6,6,100291
0.245059289,1,0,100292
0.138339921,0.2,4,100298
0.138339921,0.2,4,100299
0.04743083,0.8,5,100300
0.296442688,1,8,100301
0.110671937,1,0,100828
0.371541502,1,8,100829
0.035573123,0.4,1,100830
0.146245059,0.4,1,100831
0.205533597,0.4,1,100832
0.079051383,0.4,1,100833
0.027667984,0.8,5,100834
0.122529644,0.4,1,100835
0.209486166,1,0,100836
0.249011858,1,0,101372
0.565217391,1,2,118069
0.584980237,1,2,100312
0.086956522,0.2,4,100313
0.059288538,0.4,1,100314
0.711462451,1,7,100315
0.505928854,0.6,3,100316
0.541501976,1,2,100317
0.664031621,1,7,100318
0.276679842,0.2,4,100319
0.557312253,1,2,100321
0.308300395,1,8,100323
0.5256917,1,2,100325
0.039525692,0.4,1,100332
0.055335968,1,0,100864
0.126482213,1,0,100865
0.083003953,0.2,4,101184
0.557312253,1,2,101185
0.264822134,1,8,139534
0.252964427,0.6,6,139535
0.035573123,0.4,1,139536
0.122529644,0.4,1,139537
0.23715415,1,0,139538
0.169960474,1,0,139539
0.043478261,0.2,4,107578
0.04743083,0.4,1,107579
0.245059289,1,0,107589
0.173913043,1,0,107646
0.118577075,1,0,107647
0.185770751,1,0,107648
0.122529644,0.2,4,107649
0.098814229,0.2,4,107656
0.18972332,1,0,107657
0.446640316,1,2,117141
0.347826087,1,8,122388
0.359683794,1,8,122389
0.371541502,1,8,122390
0.292490119,1,8,124233
0.320158103,1,8,124303
0.205533597,0,9,124305
0.110671937,1,0,112408
0.114624506,1,0,112645
0.098814229,1,0,112647
0.130434783,0.6,6,112648
0.264822134,0.2,4,113142
0.059288538,0,9,100379
0.233201581,0.8,5,100383
0.106719368,0.4,1,100385
0.498023715,1,2,100386
0.671936759,1,7,100387
0.102766798,0.4,1,100837
0.371541502,0.8,8,100838
0.086956522,0.4,1,100851
0.494071146,0.8,2,100853
0.249011858,0.2,4,100856
0.083003953,0.4,1,100858
0.450592885,1,2,100859
0.051383399,0.8,5,101665
0.407114625,1,8,101667
0.225296443,0.2,4,101862
0.4743083,1,2,101864
0.205533597,0.2,4,102172
0.035573123,1,0,102173
0.055335968,1,0,102174
0.375494071,1,8,102431
0.055335968,0.2,4,102432
